Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,130.630005,130.630005,129.509995,130.220001,130.007599,66100
2019-04-23,130.440002,133.000000,129.770004,132.119995,131.904495,101600
2019-04-24,132.220001,134.270004,132.220001,133.500000,133.282257,84200
2019-04-25,133.100006,133.699997,131.820007,133.190002,132.972763,136500
2019-04-26,132.949997,135.449997,131.350006,134.919998,134.699936,70900
2019-04-29,134.869995,138.449997,134.869995,137.729996,137.505341,92700
2019-04-30,137.460007,138.009995,135.660004,137.550003,137.325653,101900
2019-05-01,138.199997,140.500000,137.240005,138.300003,138.074417,94100
2019-05-02,138.000000,138.710007,136.240005,138.580002,138.353973,82300
2019-05-03,139.500000,142.190002,139.130005,142.110001,141.878204,66700
2019-05-06,140.309998,141.770004,140.220001,141.100006,140.869858,110200
2019-05-07,139.820007,139.820007,136.500000,137.279999,137.056091,77600
2019-05-08,137.639999,138.600006,136.880005,137.130005,136.906342,65300
2019-05-09,136.160004,138.740005,134.940002,137.550003,137.325653,49000
2019-05-10,137.649994,139.399994,134.449997,137.419998,137.195862,74500
2019-05-13,134.850006,136.110001,132.330002,134.080002,133.861313,119900
2019-05-14,134.149994,137.529999,133.279999,135.199997,134.979477,87800
2019-05-15,134.369995,137.100006,133.990005,136.800003,136.576874,85700
2019-05-16,137.139999,141.220001,137.059998,138.380005,138.154297,67400
2019-05-17,137.029999,139.080002,135.839996,135.889999,135.668350,92000
2019-05-20,134.910004,136.559998,134.320007,135.910004,135.688324,83700
2019-05-21,136.440002,138.880005,136.389999,138.580002,138.353973,100400
2019-05-22,138.059998,139.470001,136.610001,138.940002,138.713379,120800
2019-05-23,141.990005,141.990005,134.500000,140.380005,140.151031,195700
2019-05-24,146.669998,147.300003,142.759995,147.250000,147.009827,143300
2019-05-28,147.789993,149.809998,146.339996,146.490005,146.251068,131000
2019-05-29,145.389999,145.500000,142.460007,143.309998,143.076248,117300
2019-05-30,143.899994,144.970001,142.059998,142.869995,142.636963,106000
2019-05-31,141.690002,142.899994,140.750000,142.300003,142.067902,93500
2019-06-03,142.660004,144.789993,142.039993,143.919998,143.685257,130000
2019-06-04,144.710007,148.880005,144.710007,148.750000,148.507370,129900
2019-06-05,149.130005,149.830002,147.320007,149.300003,149.056488,85400
2019-06-06,148.899994,151.470001,147.800003,150.380005,150.134720,110800
2019-06-07,150.860001,151.850006,149.020004,149.229996,148.986588,75300
2019-06-10,150.089996,153.199997,148.639999,148.990005,148.746994,78700
