Date,Open,High,Low,Close,Adj Close,Volume
2019-04-26,175.369995,177.110001,174.309998,176.990005,176.990005,1263700
2019-04-29,177.289993,178.559998,176.350006,176.679993,176.679993,1188500
2019-04-30,176.669998,178.419998,175.380005,178.210007,178.210007,1072200
2019-05-01,178.929993,178.949997,173.899994,173.970001,173.970001,1292200
2019-05-02,173.639999,174.660004,171.330002,173.360001,173.360001,996700
2019-05-03,174.720001,176.880005,174.059998,176.699997,176.699997,959600
2019-05-06,171.800003,175.509995,169.800003,175.279999,175.279999,1271000
2019-05-07,173.000000,174.210007,168.869995,170.720001,170.720001,1725400
2019-05-08,170.339996,172.789993,169.720001,171.509995,171.509995,1097200
2019-05-09,169.229996,172.009995,167.460007,171.419998,171.419998,1267600
2019-05-10,170.639999,174.190002,167.809998,173.770004,173.770004,1302200
2019-05-13,168.050003,170.710007,164.600006,164.929993,164.929993,1802100
2019-05-14,166.729996,170.750000,166.139999,169.960007,169.960007,1339700
2019-05-15,168.169998,173.929993,168.169998,173.320007,173.320007,1475000
2019-05-16,174.149994,178.419998,173.759995,176.679993,176.679993,1261200
2019-05-17,174.970001,177.699997,173.889999,174.330002,174.330002,1276100
2019-05-20,172.429993,172.830002,168.309998,170.610001,170.610001,1717800
2019-05-21,172.759995,174.940002,172.229996,174.229996,174.229996,1478600
2019-05-22,173.869995,175.470001,173.240005,174.029999,174.029999,1257000
2019-05-23,170.009995,173.740005,167.139999,169.539993,169.539993,2521800
2019-05-24,160.679993,165.179993,158.509995,161.220001,161.220001,6108900
2019-05-28,161.520004,165.350006,160.699997,161.089996,161.089996,3036900
2019-05-29,160.000000,162.289993,159.259995,161.520004,161.520004,2439300
2019-05-30,161.869995,163.559998,161.309998,162.619995,162.619995,1110100
2019-05-31,160.000000,162.470001,159.789993,160.910004,160.910004,1862900
2019-06-03,161.419998,161.770004,153.550003,154.820007,154.820007,2980100
2019-06-04,157.580002,160.050003,155.809998,159.910004,159.910004,1877000
2019-06-05,162.320007,162.559998,158.449997,161.309998,161.309998,1229200
2019-06-06,161.089996,161.479996,158.369995,161.160004,161.160004,1236500
2019-06-07,162.039993,166.000000,161.669998,165.300003,165.300003,1388900
2019-06-10,166.380005,168.149994,164.990005,165.119995,165.119995,1504300
2019-06-11,166.940002,167.929993,162.029999,163.199997,163.199997,1363600
2019-06-12,163.460007,163.809998,161.720001,163.770004,163.770004,901800
2019-06-13,164.539993,164.880005,161.770004,162.320007,162.320007,1121400
2019-06-14,161.850006,163.000000,156.220001,158.160004,158.160004,1573800
2019-06-17,158.389999,158.809998,157.089996,157.380005,157.380005,1423300
2019-06-18,159.869995,163.380005,159.270004,161.899994,161.899994,1427800
2019-06-19,163.009995,166.789993,162.350006,165.630005,165.630005,2892600
2019-06-20,169.029999,171.110001,167.889999,169.449997,169.449997,2739900
2019-06-21,169.330002,171.679993,169.000000,170.889999,170.889999,3079900
2019-06-24,171.369995,171.830002,168.289993,168.500000,168.500000,2507700
2019-06-25,169.279999,169.369995,162.839996,163.160004,163.160004,2368300
2019-06-26,164.169998,165.809998,162.320007,162.479996,162.479996,1157300
2019-06-27,163.149994,166.070007,162.779999,165.250000,165.250000,1624000
2019-06-28,166.119995,166.360001,162.869995,162.899994,162.899994,4849700
2019-07-01,166.990005,170.059998,165.520004,169.289993,169.289993,2262200
2019-07-02,169.110001,170.320007,168.399994,170.100006,170.100006,862200
2019-07-03,170.360001,172.179993,168.839996,172.000000,172.000000,852800
2019-07-05,170.389999,172.339996,169.440002,172.229996,172.229996,1233400
2019-07-08,170.750000,171.389999,168.770004,169.869995,169.869995,1766300
2019-07-09,168.770004,171.429993,168.259995,171.350006,171.350006,1257400
2019-07-10,172.509995,175.279999,172.000000,172.740005,172.740005,1419100
